2	3	6	12	6
4	6	24	96	72
6	9	54	324	270
8	12	96	768	672
10	15	150	1500	1350
12	18	216	2592	2376
14	21	294	4116	3822
16	24	384	6144	5760
18	27	486	8748	8262
20	30	600	12000	11400
22	33	726	15972	15246
24	36	864	20736	19872
26	39	1014	26364	25350
28	42	1176	32928	31752
30	45	1350	40500	39150
32	48	1536	49152	47616
34	51	1734	58956	57222
36	54	1944	69984	68040
38	57	2166	82308	80142
40	60	2400	96000	93600
42	63	2646	111132	108486
44	66	2904	127776	124872
46	69	3174	146004	142830
48	72	3456	165888	162432
50	75	3750	187500	183750
52	78	4056	210912	206856
54	81	4374	236196	231822
56	84	4704	263424	258720
58	87	5046	292668	287622
60	90	5400	324000	318600
62	93	5766	357492	351726
64	96	6144	393216	387072
66	99	6534	431244	424710
68	102	6936	471648	464712
70	105	7350	514500	507150
72	108	7776	559872	552096
74	111	8214	607836	599622
76	114	8664	658464	649800
